敏感词	属性
姦	
賤	e-
爛	e-
媽	
鰢	
鎷	
騷	
騒	
鈤	e-
屍	
獸	e-
臺	e-
務	e-
慾	
奧運	c
辦證	e-
暴動	c
暴亂	c
測試	c
產黨	
大煙	c
代練	c
動亂	e
獨立	c
反動	c
國軍	c
韓正	
賀龍	c
獲救	c
集會	c
雞雞	
劍網	c
連戰	
列寧	
龍陽	c
民國	
民運	c
殺手	c
聖火	c
聖母	
省長	c
屍體	
首長	c
臺灣	
萬歲	c
壓迫	c
壓制	c
易當	c
罌粟	
遊行	
鎮壓	c
總理	c
奧巴馬	c
測試員	c
鄧小平	b)
釣魚島	c
共产黨	
管理員	c
國民黨	c
紅衛兵	c
胡錦濤	dc
江八點	
蔣介石	
蔣中正	
李克強	c
劉伯承	
劉少奇	
馬克思	
毛澤東	dc
彭德懷	
人民幣	c
神經病	
宋美齡	
孫中山	
台灣國	c
臺灣國	c
習近平	
西藏國	c
新疆國	c
朱鎔基	
總書記	c
帝國主義	
共產主義	
國家分裂	
國家主席	c
紅十字會	dc
看牌軟體	c
蘋果日報	
三民主義	c
社會主義	
幸福花園	c
國家領導人	c
鐵血三國志	c
無盡的任務	c
新手指導員	
遊戲管理員	
人大代表大會	
毛贱	b-
毛乳	c
毛反动	c
毛贺龙	b-
毛基督	c
毛军委	c
毛李鹏	b-
毛列宁	c
毛连战	b-
毛林彪	c
毛民运	c
毛普京	c
毛人大	c
毛网管	c
毛系统	c
毛发改委	c
毛法制办	c
毛公安部	c
毛公安局	c
毛共产党	c
毛工商局	c
毛管理员	c
毛国防部	c
毛国民党	c
毛国务院	c
毛海洋局	c
毛红卫兵	c
毛金日成	c
毛金正日	c
毛建设部	c
毛江八点	c
毛蒋介石	c
毛蒋中正	
毛交通部	
毛教育部	
毛粮食局	
毛林业局	
毛旅游局	
毛刘少奇	
毛马克思	
毛马英九	
毛毛泽东	
毛毛主席	
毛美利坚	
毛民航局	
毛民进党	
毛民政部	
毛农业部	
毛社科院	
毛审计署	
毛神经病	
毛斯大林	
毛司法部	
毛四人帮	
毛天安门	
毛铁道部	
毛统计局	
毛外汇局	
毛文化部	
毛外交部	
毛文物局	
毛小日本	
毛新华社	
毛耶和华	
毛邮政局	
毛共产主义	
毛国家主席	
毛环保总局	
毛看牌软件	
毛穆罕默德	
毛你二大爷	c
毛全国人大	
毛苹果日报	c
毛人大代表	c
毛人民日报	
毛人民银行	
毛三民主义	
毛社会主义	
毛手机复制	
毛四川独立	c
毛体育总局	
毛五星红旗	c
毛一国两制	c
毛国土资源部	
毛人民大会堂	
毛游戏管理员	
毛靠	b-
八仙靠	c
6？4靠	
共产党靠	c
毛泽东靠	c
操78	c
操朝鲜	c
操达赖喇嘛	c
联4通	
灵动卡	
全1球通	
如6意通	
UP新势力	
联通贵宾卡	c
易达网络卡	c
UP8新势力	
诚信通手机商城	
代链	b-
卖卡	cfcmc
私服	cmc
外挂	b)fmc
外·挂	
外/挂	
外*挂	
外~挂	
外$挂	
外？挂	
外**挂	
外~~挂	
外$$挂	
外？？挂	
外/掛	
外*掛	
外~掛	
外$掛	
外？掛	
外**掛	
外~~掛	
外$$掛	
网关	c
海盗王	
混沌诀	ckc
剑网2	cfc
剑网3	cfc
轩辕剑	c
作弊器	c
碧雪情天	c
部落冲突	c1119
看棋软件	cf（看棋軟體）cmc
乱武天下	c
魔兽世界	c
王者荣耀	c
欢乐潜水艇	cf
跑跑卡丁车	c
游戏宫理员	cfcmc
都市2046	c
一起玩游戏网	cfc
代考	b-
电狗	b-
电鸡	c
买肾	c
卖肾	c
肾源	c
替考	c
偷电	b|)(2)
办本科	c
大力丸	c
电话监	
儿园杀	c
跟踪器	c
监听器	b|)(3)
砍死你	c
窃听器	b|)(3)mc
透视器	c
蚁力神	c
办理本科	c
出售假币	coc
电话交友	c
电话窃听	
红外透视	c
考后付款	c
考试包过	c
考试答案	c
窃听器材	c
透视眼镜	cmc
电话定位器	
电话拦截器	
号码百事通	
红外,透视	
电话追杀系统	
SIM卡复制器	
答案卫星接收机	
